event_timestamp,project_number,message_id,instance_id,message_type,sdk_platform,app_name,collapse_key,priority,ttl,topic,bulk_id,device_recently_active,event,analytics_label
2025-04-26 19:20:21.605429 UTC,953620433499,,,TOPIC,UNKNOWN_OS,,,5,2419201,high-order-1,9585678959189772650,FALSE,MESSAGE_ACCEPTED,
2025-04-26 14:20:21.356273 UTC,953620433499,,,TOPIC,UNKNOWN_OS,,,5,2419201,High-order-2,9127171577985515179,FALSE,MESSAGE_ACCEPTED,
2025-04-26 19:40:17.359635 UTC,953620433499,,,TOPIC,UNKNOWN_OS,,,5,2419201,High-order-3,9610897417481611951,FALSE,MESSAGE_ACCEPTED,
